user_id,tweet_text,creation_date,user_location,user_follower,user_friends,sentiment_analysis_polarity,sentiment_analysis_subjectivity
817321567776452609,"""The Best People:"" Thanks to Trump’s incompetence, there’s no one in charge at the Pentagon in the midst of multipl… https://t.co/rexc3UgG8h",2019-06-18 20:47:41,TouringFacility&PickingUpSlack,485,2656,0.6,0.25
1060666561076314112,"RT @RealSaavedra: Which begs the question, what did AOC mean when she said: “we need to do something about it”?

She is saying Trump is Hit…",2019-06-18 20:47:41,"Washington, DC",245,371,-0.3125,0.6875
741144925358698496,RT @KwikWarren: I can honestly see McConnell on the phone with Putin laughing at trump and figuring out what to do with him.,2019-06-18 20:47:41,,431,1042,0.6,0.9
239510568,SCOTUS Ruling All But Guarantees State Criminal Charges For Trump https://t.co/FRwpalPtgK via @politicususa,2019-06-18 20:47:41,Los Angeles,11099,7182,-0.4,0.55
1928315336,"RT @kylegriffin1: Trump, asked by @AprilDRyan if he would apologize for his remarks on the Central Park Five, does not apologize and adds:…",2019-06-18 20:47:41,"Fighting Rethugs in, Michigan USA",865,1199,0.0,0.25
3950712869,"RT @Education4Libs: President Trump has over 100,000 people trying to attend his rally today.

Joe Biden has a difficult time getting 100 p…",2019-06-18 20:47:41,"Illinois, USA",558,463,-0.5,1.0
15100622,"RT @anitakumar01: Flying on AF1 with Trump to Florida: Sens. Lindsey Graham and Marco Rubio, Dan Scavino and Sarah Sanders.",2019-06-18 20:47:41,"39.953917, -76",2567,2462,0.0,0.0
2815148286,@realDonaldTrump https://t.co/l06BBybFvc,2019-06-18 20:47:41,,10,58,0.0,0.0
2364498854,RT @seanhannity: The stock market is inches away from a new record... https://t.co/qOciwRe9A6 https://t.co/KcA63hkBBW,2019-06-18 20:47:41,United States,1857,1185,0.13636363636363635,0.45454545454545453
1830452112,"RT @catturd2: This scares the hell out of every Democrat presidential candidate 👇

Massive Crowd Gathers Early for 'Epic' Trump Orlando Ral…",2019-06-18 20:47:41,Deep behind Enemy Lines-SoCal,19118,20672,0.06666666666666667,0.5666666666666668
149340809,"RT @atrupar: Holy shit -- years after DNA evidence exonerated them, Trump suggests the Central Park 5 are guilty and refuses to apologize f…",2019-06-18 20:47:41,Brooklyn,8657,636,-0.2333333333333333,0.6833333333333332
1133742986234388480,"RT @Phil_Mattingly: Key lines in letter to Pres. Trump from bipartisan group, as questions about legal authority for any Iran action contin…",2019-06-18 20:47:41,,1,53,0.10000000000000002,0.43333333333333335
30780159,Hilarious! #MAGA #TRUMP2020  #,2019-06-18 20:47:41,Sovereign State of Oklahoma,79,168,0.625,1.0
105478258,RT @thehill: NEW POLL: Six 2020 Dems lead Trump in Florida https://t.co/9qBRZmsl0B https://t.co/FXgZLm3e54,2019-06-18 20:47:41,California,150,601,0.13636363636363635,0.45454545454545453
46741654,RT @soledadobrien: I’m surprised you are surprised. https://t.co/YpXWTlDzTv,2019-06-18 20:47:41,"Greensboro, NC",2347,1459,0.1,0.9
1045383982618152961,@PromoHack @joe_hill No trump does,2019-06-18 20:47:41,"Mount Washington, KY",5,103,0.0,0.0
953351934676582400,"RT @DineshDSouza: Typical of the Left to respond to Trump’s announcement about deporting illegals by saying, “Start with D’Souza.” But I’m…",2019-06-18 20:47:41,"California, USA",1765,2150,-0.08333333333333333,0.25
840733298989096960,"RT @Amy_Siskind: In the past two weeks, these members of the Trump regime have resigned or withdrawn:
*Emmet Flood
*Sarah Sanders
*Pat Shan…",2019-06-18 20:47:41,"Washington, DC",489,77,-0.25,0.25
784454880576495616,"@realDonaldTrump 2/ 
think I found my guy.” So, I would like to salute Donald Trump for his tenacity, and for the u… https://t.co/nIw4cPMrtL",2019-06-18 20:47:41,,558,788,0.0,0.0
18006752,RT @atrupar: Trump flatly denies numerous reports that ICE was unprepared for his announcement that mass deportations will begin next week…,2019-06-18 20:47:41,Portland Oregon ,49463,45622,-0.008333333333333333,0.20833333333333334
